,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,vallenar,-28.57,-70.76,58.66,49,0,3.74,CL,1598569403
279,piravam,9.87,76.5,77.0,100,40,2.53,IN,1598569404
280,byron bay,-28.65,153.62,63.0,67,0,5.82,AU,1598569136
281,kyakhta,50.35,106.45,53.92,93,93,4.03,RU,1598569406
282,mecca,21.43,39.83,88.02,21,48,4.7,SA,1598569388
283,ardatov,55.24,43.1,57.74,92,100,2.13,RU,1598569408
284,koslan,63.46,48.9,48.02,90,53,5.39,RU,1598569409
285,kapuskasing,49.42,-82.43,55.4,87,90,3.36,CA,1598569208
286,dubbo,-32.25,148.62,46.4,81,0,3.36,AU,1598569204
287,kindu,-2.95,25.95,71.35,94,40,1.72,CD,1598569413
288,escarcega,18.61,-90.75,89.92,53,75,3.62,MX,1598569414
289,mbanza-ngungu,-5.25,14.87,73.17,78,100,4.36,CD,1598569415
290,mogadishu,2.04,45.34,76.24,83,6,14.27,SO,1598569416
291,cururupu,-1.83,-44.87,75.33,92,48,2.8,BR,1598569417
292,yar-sale,66.83,70.83,53.38,83,44,6.55,RU,1598569418
293,icod de los vinos,28.37,-16.71,86.0,35,0,13.33,ES,1598569419
294,danville,36.59,-79.39,86.0,66,1,6.93,US,1598569153
295,matara,5.95,80.54,78.28,86,100,8.48,LK,1598569421
296,alyangula,-13.85,136.42,75.2,57,27,6.93,AU,1598569422
297,ugoofaaru,5.67,73.0,82.92,74,97,14.25,MV,1598569424
298,kota kinabalu,5.97,116.07,75.2,94,20,4.7,MY,1598569425
299,ishcherskaya,43.72,45.13,62.6,88,13,4.47,RU,1598569426
300,ndjole,-0.18,10.76,74.35,92,100,4.34,GA,1598569427
301,alugan,12.22,125.48,80.46,84,100,4.0,PH,1598569428
302,tursunzoda,38.51,68.23,60.8,72,20,4.47,TJ,1598569429
303,lavrentiya,65.58,-171.0,51.19,71,2,2.28,RU,1598569430
304,boddam,57.47,-1.78,53.01,76,100,5.82,GB,1598569431
305,ukiah,39.15,-123.21,93.2,26,1,6.93,US,1598569258
306,sao joao da barra,-21.64,-41.05,71.33,88,0,8.23,BR,1598569299
307,fort abbas,29.19,72.85,89.85,53,51,10.33,PK,1598569435
308,samarai,-10.62,150.67,77.77,86,100,20.92,PG,1598569436
309,mayor pablo lagerenza,-19.93,-60.77,87.58,30,0,5.1,PY,1598569222
310,erenhot,43.65,111.98,67.21,60,100,10.33,CN,1598569438
311,winfield,37.24,-97.0,91.99,46,1,5.82,US,1598569439
312,bure,10.7,37.07,57.33,96,97,1.7,ET,1598569440
